link,category,name,img_url__001,brand,price,short_desc,img_url__002
https://www.thegioididong.com/dong-ho-thong-minh/masstel-smart-hero-2?fbclid=IwAR1-8bhBPA1WqJ9Lg8RDxKnKqYz88bp6sRbgx5Qli4ejCjgOEB-xS7e4GVE,Đồng hồ thông minh,Đồng hồ thông minh trẻ em Masstel Smart Hero 2,https://cdn.tgdd.vn/Products/Images/7077/218053/masstel-smart-hero-2-cont-thum-600x600.jpg,Masstel,792000,,
https://www.thegioididong.com/dong-ho-thong-minh/huami-amazfit-gts,Đồng hồ thông minh,Đồng hồ thông minh Huami Amazfit GTS xanh dương,https://cdn.tgdd.vn/Products/Images/7077/219303/xiaomi-amazfit-gts-600x600.jpg,Huami Amazfit,2990000,"Đồng hồ thông minh Huami Amazfit GTS sở hữu thiết kế hiện đại, đường nét tinh tế với màn hình tràn viền, dây đeo nhiều màu sắc cho người dùng thoải mái lựa chọn. Đồng hồ trang bị nhiều tính năng theo dõi sức khỏe, vận động hữu ích, các chế độ luyện tập thể thao chuyên nghiệp.",
https://www.thegioididong.com/dong-ho-thong-minh/huami-amazfit-gtr-42mm-do,Đồng hồ thông minh,Đồng hồ thông minh Huami Amazfit GTR 42mm đỏ,https://cdn.tgdd.vn/Products/Images/7077/223757/huami-amazfit-gtr-42mm-do-ava-600x600.jpg,Huami Amazfit,2990000,,
https://www.thegioididong.com/dong-ho-thong-minh/huami-amazfit-gtr-42mm-trang,Đồng hồ thông minh,Đồng hồ thông minh Huami Amazfit GTR 42mm trắng,https://cdn.tgdd.vn/Products/Images/7077/223758/huami-amazfit-gtr-42mm-trang-ava-600x600.jpg,Huami Amazfit,2990000,,
https://www.thegioididong.com/dong-ho-thong-minh/huami-amazfit-gts?fbclid=IwAR3b978m-jl4JNksst8ETglCraMGavazwNtGzbiraNHZDESIgmVQnH8PSVc%5C,Đồng hồ thông minh,Đồng hồ thông minh Huami Amazfit GTS xanh dương,https://cdn.tgdd.vn/Products/Images/7077/219303/xiaomi-amazfit-gts-600x600.jpg,Huami Amazfit,2990000,"Đồng hồ thông minh Huami Amazfit GTS sở hữu thiết kế hiện đại, đường nét tinh tế với màn hình tràn viền, dây đeo nhiều màu sắc cho người dùng thoải mái lựa chọn. Đồng hồ trang bị nhiều tính năng theo dõi sức khỏe, vận động hữu ích, các chế độ luyện tập thể thao chuyên nghiệp.",
https://www.thegioididong.com/dong-ho-thong-minh/huami-amazfit-gtr-47mm-day-da,Đồng hồ thông minh,Đồng hồ thông minh Huami Amazfit GTR 47mm Dây Da,https://cdn.tgdd.vn/Products/Images/7077/219300/huami-amazfit-gtr-47mm-day-da-600x600.jpg,Huami Amazfit,3290000,"Đồng hồ thông minh Huami Amazfit GTR 47mm phiên bản dây da mang kiểu dáng cổ điển, thanh lịch phù hợp với người dùng là nam giới. Đồng hồ mang đến nhiều tiện ích về sức khỏe, thể thao cùng thời lượng pin dài ấn tượng.",
https://www.thegioididong.com/dong-ho-thong-minh/huami-amazfit-gts-den,Đồng hồ thông minh,Đồng hồ thông minh Huami Amazfit GTS đen,https://cdn.tgdd.vn/Products/Images/7077/223744/huami-amazfit-gts-den-ava-600x600.jpg,Huami Amazfit,2990000,,
https://www.thegioididong.com/dong-ho-thong-minh/huami-amazfit-gts-xam,Đồng hồ thông minh,Đồng hồ thông minh Huami Amazfit GTS xám,https://cdn.tgdd.vn/Products/Images/7077/223746/huami-amazfit-gts-xam-ava-600x600.jpg,Huami Amazfit,2990000,,
https://www.thegioididong.com/dong-ho-thong-minh/huami-amazfit-gtr-42mm-den,Đồng hồ thông minh,Đồng hồ thông minh Huami Amazfit GTR 42mm đen,https://cdn.tgdd.vn/Products/Images/7077/223784/huami-amazfit-gtr-42mm-den-thum-600x600.jpg,Huami Amazfit,2990000,,
https://www.thegioididong.com/dtdd/samsung-galaxy-s10-lite,Điện thoại,Điện thoại Samsung Galaxy S10 Lite,https://cdn.tgdd.vn/Products/Images/42/194251/samsung-galaxy-s10-lite-blue-chi-tiet-400x460.png,Samsung,14990000,Samsung Galaxy S10 Lite là một phiên bản khác của dòng Galaxy S10 đã ra mắt trước đó nhưng mang trong mình khá nhiều khác biệt về ngoại hình cũng như bên trong.,https://cdn.tgdd.vn/ValueIcons/1/Label_01-05.png
https://www.thegioididong.com/dong-ho-thong-minh/masstel-super-hero-xanh-duong,Đồng hồ thông minh,Masstel Super Hero,https://cdn.tgdd.vn/Products/Images/7077/209349/masstel-super-hero-xanh-duong-thum-600x600.jpg,Masstel,1192000,"Đồng hồ thông minh Masstel Super Hero Xanh Dương được thiết kế dành riêng cho trẻ em, vừa hỗ trợ bố mẹ quản lý và bảo vệ các bé tốt hơn vừa cho các bé giải trí nhẹ nhàng.\n",
https://www.thegioididong.com/dtdd/xiaomi-mi-note-10-pro,Điện thoại,Điện thoại Xiaomi Mi Note 10 Pro,https://cdn.tgdd.vn/Products/Images/42/213590/xiaomi-mi-note-10-pro-black-400x460.png,Xiaomi,13990000,"Siêu phẩm tầm trung Xiaomi Mi Note 10 Pro, chiếc smartphone đầu tiên sở hữu ống kính độ phân giải 108 MP cùng hệ thống 5 camera độc đáo, công nghệ sạc siêu nhanh 30W đi kèm nhiều tính năng nổi trội khác.",https://cdn.tgdd.vn/ValueIcons/1/Label_01-02.png
https://www.thegioididong.com/op-lung-flipcover/op-lung-galaxy-s10-lite-deo-tail-tpu-case-navy,,Ốp lưng Galaxy S10 Lite nhựa dẻo Tail TPU Case COSANO Navy,https://cdn.tgdd.vn/Products/Images/60/221067/op-lung-galaxy-s10-lite-deo-tail-tpu-case-navy-1-600x600.jpg,null,50000,,
https://www.thegioididong.com/dong-ho-thong-minh/kidcare-26,Đồng hồ thông minh,Đồng hồ thông minh trẻ em Kidcare 26,https://cdn.tgdd.vn/Products/Images/7077/210472/kidcare-26-thum-600x600.jpg,Kidcare,1032000,"Đồng hồ định vị trẻ em Kidcare 26 được thiết kế năng động dành cho các bé. Đây vừa là chiếc đồng hồ thời trang mà phụ huynh trang bị cho con em mình, vừa là công cụ để phụ huynh thuận tiện trong việc theo dõi lịch trình hằng ngày của các bé.",
https://www.thegioididong.com/dong-ho-thong-minh/dong-ho-mykid,Đồng hồ thông minh,Đồng hồ thông minh trẻ em Mykid,https://cdn.tgdd.vn/Products/Images/7077/211860/mykid-xanh-2-1-1-600x600.jpg,Mykid,1160000,"Đồng hồ thông minh trẻ em Mykid vừa ra mắt là chiếc đồng hồ dành cho trẻ em từ 5-12 tuổi. Với chiếc đồng hồ này, phụ huynh hoàn toàn có thể yên tâm những lúc không bên cạnh trẻ nhờ các tính năng định vị, theo dõi lịch trình, nghe gọi và SOS,.. Thiết kế của đồng hồ nhỏ gọn, kiểu dáng đẹp mắt phù hợp với trẻ em. ",
https://www.thegioididong.com/dong-ho-thong-minh/oaxis-myfirst-fone-d2-do,Đồng hồ thông minh,Đồng hồ thông minh trẻ em Oaxis MyFirst Fone D2 Đỏ,https://cdn.tgdd.vn/Products/Images/7077/224337/oaxis-myfirst-fone-d2-do-thum-600x600.jpg,Oaxis MyFirst Fone,1192000,,https://cdn.tgdd.vn/ValueIcons/1/Asset-16.png
https://www.thegioididong.com/dong-ho-thong-minh/oppo-watch-46mm-day-silicone,Đồng hồ thông minh,Đồng hồ thông minh Oppo Watch 46mm dây silicone đen,https://cdn.tgdd.vn/Products/Images/7077/225648/oppo-watch-46mm-day-silicone-200x200.jpg,Oppo,7990000,,https://cdn.tgdd.vn/ValueIcons/1/Label_01-05.png
https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-3-phien-ban-38-mm,Đồng hồ thông minh,"Apple Watch S3 GPS, 38mm viền nhôm, dây cao su",https://cdn.tgdd.vn/Products/Images/7077/117880/apple-watch-3-phien-ban-38-mm-chi-tiet-600x600.png,Apple,5690000,,
https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-gt2-42mm-day-da,Đồng hồ thông minh,Đồng hồ thông minh Huawei Watch GT2 42mm dây da,https://cdn.tgdd.vn/Products/Images/7077/212195/huawei-watch-gt2-42mm-day-da-thum-600x600.jpg,Huawei,4790000,Đồng hồ thông minh Huawei Watch GT2 nổi bật với thời lượng pin 7 ngày và các tính năng chăm sóc sức khỏe mỗi ngày luôn sẵn sàng đồng hành cùng bạn.,https://cdn.tgdd.vn/ValueIcons/1/Label_01-05.png
https://www.thegioididong.com/dong-ho-thong-minh/suunto-7-day-silicon-den,Đồng hồ thông minh,Đồng hồ thông minh Suunto 7 Dây silicone,https://cdn.tgdd.vn/Products/Images/7077/226297/suunto-7-day-silicon-den-thum-600x600.jpg,Suunto,14500000,,
https://www.thegioididong.com/dong-ho-thong-minh/suunto-9-day-silicon-xanh-la,Đồng hồ thông minh,Đồng hồ thông minh Suunto 9 Dây silicon xanh lá,https://cdn.tgdd.vn/Products/Images/7077/226312/suunto-9-day-silicon-xanh-la-thum-600x600.jpg,Suunto,13100000,,
https://www.thegioididong.com/dong-ho-thong-minh/suunto-9-baro-titanium-day-den,Đồng hồ thông minh,Đồng hồ thông minh Suunto 9 Baro titanium Dây silicon đen,https://cdn.tgdd.vn/Products/Images/7077/226307/suunto-9-baro-titanium-day-den-thum-600x600.jpg,Suunto,18100000,,
https://www.thegioididong.com/dong-ho-thong-minh/suunto-5-day-silicone-xam,Đồng hồ thông minh,Đồng hồ thông minh Suunto 5 dây silicone xám,https://cdn.tgdd.vn/Products/Images/7077/226287/suunto-5-day-silicone-xam-thum-600x600.jpg,Suunto,8800000,,
https://www.thegioididong.com/cap-dien-thoai/cap-micro-2m-ava-ds454-den,,Cáp Micro 2m AVA DS454 Đen,https://cdn.tgdd.vn/Products/Images/58/201515/cap-micro-2m-ava-ds454-den-1-600x600.jpg,null,70000,,
https://www.thegioididong.com/cap-dien-thoai/cap-micro-1m-ava-ltpl-05,,Cáp Micro 1 m AVA LTPL-05,https://cdn.tgdd.vn/Products/Images/58/197317/cap-micro-1m-ava-ltpl-05-1-fix2-600x600.jpg,null,50000,"Cáp Micro 1 m AVA LTPL-05 có thiết kế đơn giản, kiểu dáng quen thuộc giúp bạn kết nối dễ dàng giữa các thiết bị với Laptop, pin sạc,…",
https://www.thegioididong.com/cap-dien-thoai/de-sac-khong-day-qi-10w-xiaomi-gds4142gl-den,,Đế sạc không dây Qi 10W Xiaomi GDS4142GL Đen,https://cdn.tgdd.vn/Products/Images/58/226547/de-sac-khong-day-qi-10w-xiaomi-gds4142gl-den-600x600.jpg,null,450000,,
https://www.thegioididong.com/cap-dien-thoai/cap-micro-15m-sony-cp-ab150,,Dây cáp Micro USB 1.5 m Sony CP-AB150,https://cdn.tgdd.vn/Products/Images/58/139749/cap-micro-15m-sony-cp-ab150-add-fixx-600x600.jpg,null,150000,,
